ingredient_id;ingredient_name;ingredient_search_term
437;⅓ cháv. amêndoa laminada;⅓ cháv. amêndoa laminada
438;xarope de agave;xarope de agave
439;camarão tigre;camarão tigre
440;cebola pequena;cebola pequena
441;arroz carolino (ou agulha);arroz carolino
442;(+ 1 c. de chá) sal;sal
443;pão de forma de Rio Maior fatiado;pão de forma de rio maior fatiado
444;camarão 20/30 Vannamei;camarão 20/30 vannamei
445;malagueta vermelha sem sementes;malagueta vermelha sem sementes
446;haste salsa;haste salsa
447;molho (25 g) coentros;molho coentros
448;gelo;gelo
449;vodka;vodka
450;(+ 1 rodela) sumo de lima;sumo de lima
451;ginger beer;ginger beer
452;hortelã;hortelã
453;farinha de trigo tipo 55;farinha de trigo tipo 55
454;espinafre;espinafre
455;alface iceberg picada;alface iceberg picada
456;abacaxi em cubos;abacaxi em cubos
457;molho de cocktail;molho de cocktail
458;(+ 1 c. de sopa) farinha;farinha
459;fermento de padeiro fresco;fermento de padeiro
460;grão-de-bico;grão-de-bico
461;alface;alface
462;manga muito madura;manga muito madura
463;coentros em pó;coentros
464;curcuma;curcuma
465;cravinho em pó;cravinho
466;banana muito madura;banana muito madura
467;vinagre de sidra;vinagre de sidra
468;gengibre fresco;gengibre
469;de sobremesa caril;de sobremesa caril
470;sementes de funcho;sementes de funcho
471;vagem cardamomo;vagem cardamomo
472;maçã de Alcobaça muito madura;maçã de alcobaça muito madura
473;sementes de cominhos;sementes de cominhos
474;sementes de coentros;sementes de coentros
475;sultana dourada;sultana dourada
476;essência de baunilha;essência de baunilha
477;bicarbonato de sódio;bicarbonato de sódio
478;iogurte grego natural;iogurte grego natural
479;raspa de laranja;raspa de laranja
480;massa filo;massa filo
481;sumo de laranja;sumo de laranja
482;creme de pistacho;creme de pistacho
483;manteiga sem sal;manteiga sem sal
484;açúcar mascavado;açúcar mascavado
485;açúcar branco;açúcar branco
486;chocolate meio-amargo ou negro;chocolate meio-amargo ou negro
487;pistachio;pistachio
488;extrato de baunilha;extrato de baunilha
489;banana madura congelada;banana madura
490;manteiga de amendoim cremosa;manteiga de amendoim cremosa
491;sementes de linhaça trituradas;sementes de linhaça trituradas
492;vagem de baunilha (opcional);vagem de baunilha
493;café expresso;café expresso
494;lata (397 g) leite condensado;lata leite condensado
495;gemas de ovo;gemas de ovo
496;natas para bater;natas para bater
497;gemas de ovo XL;gemas de ovo xl
498;açúcar fino;açúcar fino
499;chocolate culinária;chocolate culinária
500;raspas de chocolate branco;raspas de chocolate branco
501;frutos vermelhos;frutos vermelhos
502;tomate rosa;tomate rosa
503;miolo de pistáchio;miolo de pistáchio
